Rank,Name,Pos,Z Total
334,Hamidou Diallo,SF,-2.913972937
335,Evan Turner,SG,-2.928229201
336,PJ Dozier,SG,-2.955907597
337,Wayne Ellington,SG,-2.96369228
338,Marko Guduric,SG,-3.002561071
339,Juan Hernangómez,PF,-3.016148281
340,Patrick Patterson,PF,-3.057534605
341,Talen Horton-Tucker,SG,-3.085802342
342,Grant Williams,PF,-3.101012846
343,Damyean Dotson,SG,-3.103146323
344,Allonzo Trier,SG,-3.105702804
345,Kevin Knox,SF,-3.134167477
346,Semi Ojeleye,PF,-3.135634055
347,Khem Birch,C,-3.14139906
348,Raul Neto,PG,-3.186725841
349,Dante Exum,SG,-3.220476303
350,Dusty Hannahs,SG,-3.227695475
351,Jacob Evans,SG,-3.273810803
352,Frank Mason III,PG,-3.294589112
353,Jared Dudley,PF,-3.321610617
354,Alfonzo McKinnie,SF,-3.377558564
355,Tremont Waters,PG,-3.420354581
356,Javonte Green,SG,-3.433976203
357,Jerome Robinson,SG,-3.450542222
358,Ryan Arcidiacono,PG,-3.452397571
359,Marco Belinelli,SG,-3.496217612
360,Alen Smailagić,C,-3.508154174
361,Thon Maker,C,-3.542924149
362,Yogi Ferrell,PG,-3.573649934
363,Rodions Kurucs,PF,-3.598150822
364,Terrance Ferguson,SF,-3.635753921
365,Kenrich Williams,PF,-3.659321911
366,Matt Thomas,SG,-3.732050319
367,Sekou Doumbouya,PF,-3.774305192
368,Chimezie Metu,C,-3.860482482
369,Miye Oni,SF,-3.887892853
370,Kyle O'Quinn,C,-3.898412931
371,Edmond Sumner,SG,-3.97293255
372,Juwan Morgan,PF,-3.976077431
373,Anthony Tolliver,PF,-4.098751555
374,Kevon Looney,C,-4.109708279
375,Nickeil Alexander-Walker,SG,-4.142169499
376,KZ Okpala,PF,-4.163177302
377,Kadeem Allen,PG,-4.178538192
378,Paul Watson,SF,-4.179438384
379,Nassir Little,PF,-4.193311585
380,Willy Hernangómez,C,-4.20153663
381,Jaylen Nowell,SG,-4.305830433
382,Terance Mann,SF,-4.309852661
383,Vincent Poirier,C,-4.381728871
384,Frank Jackson,PG,-4.392395994
385,Theo Pinson,SG,-4.416467343
386,Iman Shumpert,SF,-4.431759043
387,Jarrod Uthoff,PF,-4.451753828
388,Tim Frazier,PG,-4.487098257
389,Elie Okobo,PG,-4.495031281
390,Goga Bitadze,C,-4.585364497
391,Matthew Dellavedova,PG,-4.611391435
392,Dwayne Bacon,SG,-4.718508109
393,Quinn Cook,PG,-4.748263356
394,Rayjon Tucker,SG,-4.75607726
395,Treveon Graham,SF,-4.765409436
396,Anžejs Pasečņiks,C,-4.798203096
397,Džanan Musa,SF,-4.82593366
398,Derrick Walton,PG,-4.895115677
399,Wenyen Gabriel,PF,-4.900803637
400,Charlie Brown,SG,-4.916453326
401,Jaylen Hoard,PF,-4.990228845
402,Lance Thomas,PF,-5.042036915
403,Nicolas Claxton,C,-5.061487679
404,Ty Jerome,SG,-5.086713627
405,Nigel Williams-Goss,PG,-5.15738094
406,Bruno Fernando,C,-5.195362999
407,Romeo Langford,SG,-5.218385912
