"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"57","Jaylen Brown","BOS","SG,SF","40","73","49.5","8.3"
"58","Gordon Hayward","CHA","SG,SF","45","80","56.9","8.8"
"59","CJ McCollum","POR","PG,SG","47","70","57.3","5.9"
"60","Michael Porter Jr.","DEN","SF,PF","40","87","59.1","10.2"
"61","Lonzo Ball","NOR","PG","37","89","60.9","11.6"
"62","Brandon Clarke","MEM","PF,C","45","111","74.9","17.8"
"63","Malcolm Brogdon","IND","PG,SG","42","80","61.5","8.2"
"64","Dejounte Murray","SAS","PG,SG","56","72","63.9","4.8"
"65","Kelly Oubre Jr.","GSW","SF,PF","50","81","64.3","7.3"
"66","Buddy Hield","SAC","SG","45","91","64.5","11.7"
"67","Robert Covington","POR","PF,C,SF","42","80","64.7","10.7"
"68","John Wall","HOU","PG","45","83","64.9","10.1"
"69","Myles Turner","IND","PF,C","48","84","65.7","9.8"
"70","Richaun Holmes","SAC","PF,C","39","106","83.8","17.3"
"71","Lauri Markkanen","CHI","PF","54","102","74.0","11.9"
"72","Julius Randle","NYK","PF,C","51","97","75.9","13.4"
"73","Thomas Bryant","WAS","C","55","91","76.7","8.0"
"74","Aaron Gordon","ORL","SF,PF","57","106","77.0","12.2"
"75","Marcus Smart","BOS","PG,SG","45","101","77.3","13.7"
"76","Kevin Love","CLE","PF,C","59","99","77.3","10.2"
"77","Steven Adams","NOR","C","34","95","79.5","13.6"
"78","Draymond Green","GSW","PF,C","46","79","66.1","11.0"
"79","Andrew Wiggins","GSW","SG,SF","57","109","81.3","13.0"
"80","Eric Bledsoe","NOR","PG,SG","35","96","81.5","13.6"
"81","Coby White","CHI","PG","62","121","82.1","16.8"
"82","Devonte' Graham","CHA","PG,SG","57","118","82.4","12.9"
"83","Collin Sexton","CLE","PG,SG","52","147","82.5","23.8"
"84","Wendell Carter Jr.","CHI","C","62","115","84.9","14.4"
"85","Victor Oladipo","IND","PG,SG","74","101","86.4","7.3"
"86","Mikal Bridges","PHO","SG,SF","63","113","87.1","13.0"
"87","Ricky Rubio","MIN","PG","69","111","88.6","10.2"
"88","Tyler Herro","MIA","SG,SF","66","115","89.5","12.4"
"89","Derrick White","SAS","PG,SG","59","126","89.7","19.7"
"90","OG Anunoby","TOR","SF,PF","52","133","89.7","19.5"
"91","Danilo Gallinari","ATL","SF,PF","67","120","91.3","14.2"
"92","Al Horford","OKC","PF,C","52","115","92.2","14.3"
"93","Brook Lopez","MIL","C","71","138","93.8","15.1"
"94","Jarrett Allen","BKN","PF,C","81","141","96.7","14.2"
"95","Mike Conley","UTH","PG","74","115","97.3","11.8"
"96","Bogdan Bogdanovic","ATL","SG,SF,PF","69","133","98.5","14.5"
"97","Marvin Bagley III","SAC","PF,C","59","125","99.1","17.4"
"98","Markelle Fultz","ORL","PG,SG","79","149","99.7","17.2"
"99","Davis Bertans","WAS","PF,C","85","118","101.7","9.2"
"100","Montrezl Harrell","LAL","PF,C","66","138","101.7","18.4"
